"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.156383334E-2,6.435091019E0,-3.734524918E1,-2.062809753E1,4.314622162E1
2.158783334E-2,6.597955704E0,-3.742256546E1,-2.052172089E1,4.318706349E1
3.161283334E-2,6.632791519E0,-3.733972549E1,-2.068719482E1,4.319964182E1
4.163783333E-2,6.774343491E0,-3.732958221E1,-2.119079590E1,4.345617642E1
5.166183333E-2,6.893293381E0,-3.706453705E1,-2.146051788E1,4.338030922E1
6.168683333E-2,7.166402817E0,-3.710944366E1,-2.117512512E1,4.332267377E1
7.171083333E-2,6.938364029E0,-3.711319351E1,-2.105352020E1,4.322939672E1
8.173583333E-2,6.929517746E0,-3.700131607E1,-2.138255310E1,4.329352358E1
9.175983333E-2,7.037969589E0,-3.698493195E1,-2.142362213E1,4.331731515E1
1.017848333E-1,7.117368698E0,-3.698865128E1,-2.159535980E1,4.341862302E1
1.118098333E-1,7.199308395E0,-3.682816315E1,-2.187956238E1,4.343798904E1
1.218338333E-1,7.088262558E0,-3.661333466E1,-2.195388031E1,4.327531168E1
1.318588333E-1,6.979436874E0,-3.654237747E1,-2.178398895E1,4.311148414E1
1.418828333E-1,7.102010727E0,-3.652946472E1,-2.176039124E1,4.310864155E1
1.519078333E-1,7.234724045E0,-3.668612289E1,-2.182308197E1,4.329503149E1
1.619325000E-1,7.096715927E0,-3.650663757E1,-2.190876770E1,4.316355020E1
1.719565000E-1,7.287130356E0,-3.651120377E1,-2.241065979E1,4.345581597E1
1.819815000E-1,7.182989120E0,-3.634808350E1,-2.251660156E1,4.335638191E1
1.920055000E-1,7.215700150E0,-3.623817444E1,-2.222656250E1,4.311950482E1
2.020305000E-1,7.022409439E0,-3.616350937E1,-2.271321106E1,4.327821162E1
2.120555000E-1,7.117841721E0,-3.604104614E1,-2.295389557E1,4.331861031E1
2.220795000E-1,7.229024887E0,-3.601068115E1,-2.309920502E1,4.338895286E1
2.321045000E-1,7.234785080E0,-3.599929810E1,-2.309844971E1,4.338006405E1
2.421285000E-1,7.412237167E0,-3.586568832E1,-2.335362244E1,4.343593604E1
2.521535000E-1,7.330724716E0,-3.582140732E1,-2.373307037E1,4.359095521E1
2.621775000E-1,7.130422592E0,-3.576151657E1,-2.331670380E1,4.328276412E1
2.722025000E-1,7.235834122E0,-3.517849731E1,-2.342056274E1,4.287664548E1
2.822275000E-1,7.509950638E0,-3.505181885E1,-2.388360596E1,4.307500431E1
2.922515000E-1,7.495126724E0,-3.509352112E1,-2.425106812E1,4.331104309E1
3.022765000E-1,7.467756271E0,-3.500867462E1,-2.427154541E1,4.324907628E1
3.123005000E-1,7.173452377E0,-3.453664017E1,-2.452628326E1,4.296250114E1
3.223255000E-1,7.596094131E0,-3.472020340E1,-2.449756622E1,4.316623589E1
3.323505000E-1,7.494832993E0,-3.460774612E1,-2.475473785E1,4.320492633E1
3.423745000E-1,7.496412277E0,-3.421944046E1,-2.498577118E1,4.302853778E1
3.523995000E-1,7.504198074E0,-3.435860825E1,-2.513762665E1,4.322877772E1
3.624235000E-1,7.426038742E0,-3.426595688E1,-2.500183868E1,4.306267281E1
3.724485000E-1,7.652284622E0,-3.437517548E1,-2.529752350E1,4.336098297E1
3.824725000E-1,7.601621628E0,-3.440802765E1,-2.584703827E1,4.370087419E1
3.924975000E-1,7.602224350E0,-3.407935333E1,-2.576446533E1,4.339359184E1
4.025225000E-1,7.438394547E0,-3.382428741E1,-2.595560455E1,4.327938932E1
4.125465000E-1,7.369531631E0,-3.364149475E1,-2.601661682E1,4.316160929E1
4.225715000E-1,7.391454697E0,-3.337933731E1,-2.643183136E1,4.321406566E1
4.325955000E-1,7.495393753E0,-3.302210999E1,-2.651648712E1,4.300889169E1
4.426205000E-1,7.502454758E0,-3.306906128E1,-2.665704346E1,4.313290631E1
4.526455000E-1,7.301168442E0,-3.288084030E1,-2.679335022E1,4.303882358E1
4.626695000E-1,7.472864151E0,-3.281600571E1,-2.689817810E1,4.308417243E1
4.726945000E-1,7.472814560E0,-3.252722931E1,-2.722209167E1,4.306861826E1
