"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
2.259638500E-2;-4.204218388E0;3.962403774E0;4.115632534E0
2.718192300E-2;-3.713406801E0;3.751713991E0;4.647145271E0
3.192761600E-2;-3.380612850E0;3.452438831E0;5.353435040E0
3.687261600E-2;-3.172317266E0;3.040636063E0;6.332663536E0
4.173788500E-2;-3.004723072E0;2.691082716E0;7.419631004E0
4.660096200E-2;-2.662352324E0;2.513911724E0;8.286332130E0
5.154596200E-2;-2.219424963E0;2.243366957E0;8.700529099E0
5.648996200E-2;-1.889025092E0;1.896207690E0;9.437943459E0
6.140503900E-2;-1.472434044E0;1.651999116E0;9.823410034E0
6.635003900E-2;-1.055842996E0;1.474828243E0;1.038604736E1
7.129503900E-2;-6.344634295E-1;1.355118155E0;1.095826149E1
7.624003900E-2;-3.734954596E-1;1.309628367E0;1.134133339E1
8.118503900E-2;-3.160346150E-1;1.237802267E0;1.153765774E1
8.612903900E-2;-3.950432837E-1;1.271321058E0;1.163342571E1
9.107403900E-2;-4.668693244E-1;1.316810966E0;1.159751320E1
9.601903900E-2;-5.793967843E-1;1.453280449E0;1.157835960E1
1.009640390E-1;-7.493851185E-1;1.546654344E0;1.157357121E1
1.059090390E-1;-9.552865028E-1;1.644816518E0;1.163342571E1
1.108540390E-1;-1.185129881E0;1.697489023E0;1.165736771E1
1.157980390E-1;-1.424550056E0;1.793257117E0;1.161666679E1
1.207430390E-1;-1.556231141E0;1.905784607E0;1.157596493E1
1.256880390E-1;-1.690306425E0;1.965639591E0;1.163582039E1
1.306330390E-1;-1.738190413E0;2.073378563E0;1.174116516E1
1.355780390E-1;-1.728613615E0;2.200271368E0;1.190157700E1
1.405230390E-1;-1.596932530E0;2.217030764E0;1.201410389E1
1.454670390E-1;-1.359906554E0;2.121262789E0;1.200692177E1
1.504120390E-1;-1.098938584E0;1.891419291E0;1.190157700E1
1.553570390E-1;-8.978256583E-1;1.470039845E0;1.157357121E1
1.603020390E-1;-5.434837937E-1;1.285686255E0;1.131978607E1
1.652470390E-1;-3.758896589E-1;1.103726983E0;1.110670185E1
1.701920390E-1;-3.040636182E-1;9.600749016E-1;1.086728191E1
1.751360390E-1;-3.663128614E-1;8.738836050E-1;1.060631371E1
1.800810390E-1;-4.908113480E-1;9.217676520E-1;1.030224991E1
1.850260390E-1;-5.147533417E-1;8.810662031E-1;1.000297451E1
1.899710390E-1;-6.392518282E-1;8.810662031E-1;9.481039047E0
1.949160390E-1;-8.020575643E-1;9.457096457E-1;8.552088737E0
1.998610390E-1;-1.029506683E0;1.082179189E0;8.844181061E0
2.048050390E-1;-1.058237195E0;1.218648672E0;9.081207275E0
2.097530390E-1;-9.385270476E-1;1.376665950E0;9.208099365E0
2.146980390E-1;-7.398083210E-1;1.551442742E0;9.215282440E0
2.196430390E-1;-5.434837937E-1;1.702277422E0;9.390059471E0
2.245870390E-1;-3.758896589E-1;1.793257117E0;9.509769440E0
2.295320390E-1;-2.154781520E-1;1.862688899E0;9.600749016E0
2.344770390E-1;-4.548983276E-2;1.821987510E0;9.785101891E0
2.394220390E-1;1.101332754E-1;1.644816518E0;9.871294022E0
2.443670390E-1;2.561795712E-1;1.268926859E0;9.813833237E0
2.493120390E-1;3.639186621E-1;9.576807022E-1;9.773131371E0
2.542560390E-1;5.075707436E-1;7.733271718E-1;9.785101891E0
2.592010390E-1;9.169792533E-1;1.106121182E0;1.001494598E1
2.641460390E-1;1.031900883E0;1.096544385E0;1.026633644E1
2.690910390E-1;8.164227605E-1;8.020575643E-1;1.053209305E1
2.740360390E-1;4.764461517E-1;4.357447028E-1;1.070208168E1
2.789810390E-1;2.394201756E-1;-4.788403399E-3;1.088404083E1
2.839250390E-1;2.178723514E-1;-3.615244627E-1;1.119049835E1
2.888700390E-1;3.639186621E-1;-5.195417404E-1;1.159033012E1
