"Time (s)";"Pressure (hPa)"
1.758277690E-1;9.715930176E2
3.340347690E-1;9.715395508E2
4.922377690E-1;9.715104980E2
6.504417690E-1;9.714902344E2
8.086457690E-1;9.714960938E2
9.668487690E-1;9.715043945E2
1.125052769E0;9.715312500E2
1.283258769E0;9.715366211E2
1.441462769E0;9.715505371E2
1.599666769E0;9.715612793E2
1.757870769E0;9.715612793E2
1.916073769E0;9.715681152E2
2.074277769E0;9.715639648E2
2.232483769E0;9.715695801E2
2.390687769E0;9.715703125E2
2.548891769E0;9.715747070E2
2.707095769E0;9.715893555E2
2.865298769E0;9.715874023E2
3.023502769E0;9.715961914E2
3.181706769E0;9.716062012E2
3.339912769E0;9.716145020E2
3.498116769E0;9.715981445E2
3.656319769E0;9.715739746E2
3.814523769E0;9.715502930E2
3.972727769E0;9.715285645E2
4.130931769E0;9.715434570E2
4.289137769E0;9.715620117E2
4.447341769E0;9.715698242E2
4.605544769E0;9.715917969E2
4.763748769E0;9.715876465E2
4.921952769E0;9.716057129E2
5.080155769E0;9.716132812E2
5.238362769E0;9.716181641E2
5.396565769E0;9.716140137E2
5.554769769E0;9.716269531E2
5.712973769E0;9.716440430E2
5.871177769E0;9.716494141E2
6.029380769E0;9.716806641E2
6.187584769E0;9.716972656E2
6.345790769E0;9.717077637E2
6.503994769E0;9.717270508E2
6.662198769E0;9.717514648E2
6.820401769E0;9.717807617E2
6.978605769E0;9.717978516E2
7.136809769E0;9.718098145E2
7.295015769E0;9.718200684E2
7.453097769E0;9.718498535E2
7.611423769E0;9.718564453E2
7.769626769E0;9.718862305E2
7.927830769E0;9.719145508E2
8.086034769E0;9.719062500E2
8.244240769E0;9.719118652E2
8.402444769E0;9.719289551E2
8.560648769E0;9.719575195E2
8.718851769E0;9.719733887E2
8.877055769E0;9.720029297E2
9.035259769E0;9.720185547E2
9.193462769E0;9.720324707E2
9.351669769E0;9.720507812E2
9.509872769E0;9.720698242E2
9.668076769E0;9.720986328E2
9.826280769E0;9.721132812E2
9.984484769E0;9.721416016E2
1.014268777E1;9.721525879E2
1.030089477E1;9.721772461E2
1.045909777E1;9.722036133E2
1.061730177E1;9.722084961E2
1.077550577E1;9.722304688E2
1.093370877E1;9.722456055E2
1.109191277E1;9.722612305E2
1.125011877E1;9.722685547E2
1.140832277E1;9.722910156E2
1.156652677E1;9.723098145E2
1.172473077E1;9.723308105E2
1.188293377E1;9.723525391E2
1.204113777E1;9.723671875E2
1.219934177E1;9.723913574E2
1.235754777E1;9.724052734E2
1.251575177E1;9.724289551E2
1.267395477E1;9.724438477E2
1.283215877E1;9.724677734E2
1.299024077E1;9.724692383E2
1.314856677E1;9.724968262E2
1.330677277E1;9.725258789E2
1.346497677E1;9.725317383E2
1.362317977E1;9.725537109E2
1.378138377E1;9.725581055E2
1.393958777E1;9.725832520E2
1.409779177E1;9.725957031E2
1.425599777E1;9.726247559E2
1.441420177E1;9.726354980E2
1.457240477E1;9.726586914E2
1.473060877E1;9.726887207E2
1.488881277E1;9.726975098E2
1.504701577E1;9.727141113E2
1.520522277E1;9.727302246E2
1.536342577E1;9.727553711E2
1.552162977E1;9.727702637E2
1.567983377E1;9.727902832E2
1.583803777E1;9.728039551E2
1.599624077E1;9.728225098E2
1.615444477E1;9.728300781E2
1.631265077E1;9.728471680E2
1.647085477E1;9.728798828E2
1.662905877E1;9.728574219E2
1.678726177E1;9.728964844E2
1.694546577E1;9.729118652E2
1.710366977E1;9.729418945E2
1.726187577E1;9.729584961E2
1.742007977E1;9.729794922E2
1.757828377E1;9.730046387E2
1.773648677E1;9.730178223E2
1.789469077E1;9.730446777E2
